date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:33	34902/34902	---M-Z	200	added ('OK')	text/html	etag:W/%2267bc9129-8856%22	https://pakty394.github.io/hbd/birthday-main.html	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/birthday-main.html	(from )
17:05:34	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22686d72bb-239b%22	https://pakty394.github.io/robots.txt		(from )
17:05:34	71520/71520	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-6d5e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	C:/My%20Web%20Sites/umesh/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	(from https://pakty394.github.io/hbd/birthday-main.html)
17:05:35	10625/10625	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-e08%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/TextPlugin.min.js	C:/My%20Web%20Sites/umesh/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/TextPlugin.min.js	(from https://pakty394.github.io/hbd/birthday-main.html)
17:05:36	10463/10463	---M-Z	200	added ('OK')	text/html	etag:W/%2267bc9129-28df%22	https://pakty394.github.io/hbd/cake.html	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/cake.html	(from https://pakty394.github.io/hbd/birthday-main.html)
17:05:36	2157/2157	---M-Z	200	added ('OK')	text/html	etag:W/%2267bc9129-86d%22	https://pakty394.github.io/hbd/Final.html	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/Final.html	(from https://pakty394.github.io/hbd/cake.html)
17:05:36	5168/5168	---M-Z	200	added ('OK')	text/css	etag:W/%2267bc9129-1430%22	https://pakty394.github.io/hbd/style.css	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/style.css	(from https://pakty394.github.io/hbd/Final.html)
17:05:37	23321/23321	---M--	200	added ('OK')	image/gif	etag:%2267bc9129-5b19%22	https://pakty394.github.io/hbd/ZUiY.gif	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/ZUiY.gif	(from https://pakty394.github.io/hbd/Final.html)
17:05:37	33747/33747	---M--	200	added ('OK')	image/gif	etag:%2267bc9129-83d3%22	https://pakty394.github.io/hbd/5l03.gif	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/5l03.gif	(from https://pakty394.github.io/hbd/Final.html)
17:05:37	3187/3187	---M--	200	added ('OK')	image/jpeg	etag:%2267bc9129-c73%22	https://pakty394.github.io/hbd/penguin.jpg	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/penguin.jpg	(from https://pakty394.github.io/hbd/Final.html)
17:05:38	138144/138144	---M--	200	added ('OK')	image/gif	etag:%2267bc9129-21ba0%22	https://pakty394.github.io/hbd/6ob.gif	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/6ob.gif	(from https://pakty394.github.io/hbd/Final.html)
17:05:38	51799/51799	---M--	200	added ('OK')	image/gif	etag:%2267bc9129-ca57%22	https://pakty394.github.io/hbd/4SHX.gif	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/4SHX.gif	(from https://pakty394.github.io/hbd/Final.html)
17:05:39	383640/383640	---M--	200	added ('OK')	image/jpeg	etag:%2267bc9129-5da98%22	https://pakty394.github.io/hbd/background.jpg	C:/My%20Web%20Sites/umesh/pakty394.github.io/hbd/background.jpg	(from https://pakty394.github.io/hbd/style.css)
